陇南地区	66-51143-S
障碍性贫血	66-42301-S
障礙 障碍	66-42217-B
障礙性貧血 障碍性贫血	66-42301-B
隠	66-42392-S
隠 隠	66-42392-B
隣	66-42442-S
隣 隣	66-42442-B
隤	66-42492-S
隤 隤	66-42492-B
隧	66-42533-S
隧 隧	66-42533-B
隧道	66-42588-S
隧道 隧道	66-42588-B
隧道尽头的光亮	66-42628-S
隧道盡頭的光亮 隧道尽头的光亮	66-42628-B
隨 随	66-42753-B
隨之而後 随之而后	66-42845-B
隨便 随便	66-42940-B
隨信 随信	66-43028-B
隨即 随即	66-43086-B
隨同 随同	66-43156-B
隨和 随和	66-43203-B
隨員 随员	66-43268-B
隨地 随地	66-43312-B
隨州 随州	66-43432-B
隨州市 随州市	66-43505-B
隨帶 随带	66-43589-B
隨後 随后	66-43646-B
隨從 随从	66-43690-B
隨意 随意	66-43747-B
隨手 随手	66-43847-B
隨時 随时	66-43942-B
隨機 随机	66-43987-B
隨機存取 随机存取	66-44063-B
隨機存取存儲器 随机存取存储器	66-44139-B
隨機存取記憶體 随机存取记忆体	66-44251-B
隨機應變 随机应变	66-44361-B
隨機效應 随机效应	66-44478-B
隨機數 随机数	66-44552-B
隨機時間 随机时间	66-44609-B
隨波逐流 随波逐流	66-44702-B
隨筆 随笔	66-44776-B
隨著 随着	66-44837-B
隨葬品 随葬品	66-44905-B
隨處 随处	66-44976-B
隨身 随身	66-45029-B
隨身聽 随身听	66-45109-B
隨風 随风	66-45191-B
隨風倒 随风倒	66-45246-B
隨風倒舵 随风倒舵	66-45313-B
隩	66-45483-S
隩 隩	66-45483-B
險 险	66-45513-B
險些 险些	66-45560-B
險兆 险兆	66-45617-B
險峰 险峰	66-45662-B
險峻 险峻	66-45729-B
險情 险情	66-45777-B
險惡 险恶	66-45841-B
險球 险球	66-45900-B
險症 险症	66-45960-B
險詐 险诈	66-46013-B
險阻 险阻	66-46070-B
隮	66-46134-S
隮 隮	66-46134-B
隰	66-46169-S
隰 隰	66-46169-B
隰县	66-46217-S
隰縣 隰县	66-46217-B
隱 隐	66-46270-B
隱事 隐事	66-46316-B
隱伏 隐伏	66-46358-B
隱位 隐位	66-46409-B
隱修 隐修	66-46470-B
隱修士 隐修士	66-46515-B
隱修院 隐修院	66-46576-B
隱函數 隐函数	66-46649-B
隱君子 隐君子	66-46711-B
隱含 隐含	66-46807-B
隱喻 隐喻	66-46899-B
隱土 隐土	66-46940-B
隱士 隐士	66-47029-B
隱姓埋名 隐姓埋名	66-47069-B
隱密 隐密	66-47169-B
隱射 隐射	66-47205-B
隱居 隐居	66-47270-B
隱居隆中 隐居隆中	66-47332-B
隱形 隐形	66-47410-B
隱形眼鏡 隐形眼镜	66-47454-B
隱忍 隐忍	66-47524-B
隱性	66-47605-S
隱性 隱性	66-47605-B
隱患 隐患	66-47656-B
隱情 隐情	66-47774-B
隱惡揚善 隐恶扬善	66-47842-B
隱意 隐意	66-47961-B
隱憂 隐忧	66-48009-B
隱映 隐映	66-48071-B
隱晦 隐晦	66-48128-B
隱沒 隐没	66-48171-B
隱滅 隐灭	66-48248-B
隱然 隐然	66-48317-B
隱燃 隐燃	66-48384-B
隱現 隐现	66-48482-B
隱疾 隐疾	66-48546-B
隱痛 隐痛	66-48627-B
隱睾 隐睾	66-48693-B
隱瞞 隐瞒	66-48735-B
隱私 隐私	66-48827-B
隱私權 隐私权	66-48867-B
隱秘 隐秘	66-48925-B
隱約 隐约	66-48977-B
隱約其辭 隐约其辞	66-49033-B
隱色 隐色	66-49138-B
隱蔽 隐蔽	66-49221-B
隱蔽強迫下載 隐蔽强迫下载	66-49291-B
隱藏 隐藏	66-49441-B
隱藏處 隐藏处	66-49494-B
隱血 隐血	66-49560-B
隱衷 隐衷	66-49619-B
隱語 隐语	66-49716-B
隱諱 隐讳	66-49773-B
隱跡 隐迹	66-49843-B
隱跡埋名 隐迹埋名	66-49889-B
隱身草 隐身草	66-49962-B
隱身草兒 隐身草儿	66-50086-B
隱退 隐退	66-50177-B
隱逸 隐逸	66-50234-B
隱遁 隐遁	66-50274-B
隱避 隐避	66-50332-B
隱隱 隐隐	66-50425-B
隱隱約約 隐隐约约	66-50475-B
隱隱綽綽 隐隐绰绰	66-50559-B
隱顯 隐显	66-50641-B
隱顯目標 隐显目标	66-50764-B
隱顴 隐颧	66-50840-B
隱飾 隐饰	66-50918-B
隳	66-50962-S
隳 隳	66-50962-B
隴 陇	66-51002-B
隴南 陇南	66-51064-B
隴南地區 陇南地区	66-51143-B
隴南市 陇南市	66-51263-B
隴川 陇川	66-51353-B
隴縣 陇县	66-51421-B
隴西 陇西	66-51479-B
隶	66-51589-S
隶书	66-51705-S
隶属	66-51629-S
隷	66-51540-S
隷 隷	66-51540-B
隸 隶	66-51589-B
隸屬 隶属	66-51629-B
隸書 隶书	66-51705-B
隹	66-51777-S
隹 隹	66-51777-B
隻 只	66-51818-B
隻身 只身	66-51881-B
隼	66-51932-S
隼 隼	66-51932-B
隽	66-60956-S
难	67-11146-S,67-11224-S
难为情	67-12988-S
难于登天	67-12719-S
难产	67-13108-S
难以	67-11273-S
难以应付	67-11322-S
难以抹去	67-11409-S
难以置信	67-11488-S
难保	67-11553-S
难免	67-11634-S
难关	67-13781-S
难分难舍	67-11707-S
难受	67-11834-S
难堪	67-11922-S
难处	67-13376-S
难度	67-11981-S
难弹	67-12029-S
难得	67-12110-S
难忘	67-12170-S
难怪	67-12218-S
难懂	67-12308-S
难捱	67-12619-S
难控制	67-12658-S
难民	67-12835-S
难民营	67-12876-S
难混	67-12934-S
难点	67-13942-S
难熬	67-13045-S
难看	67-13158-S
难缠	67-13206-S
难舍难分	67-12366-S
难舍难离	67-12493-S
难行	67-13435-S
难记	67-13482-S
难过	67-13654-S
难逃法网	67-13531-S
难道	67-13709-S
难闻	67-13320-S
难题	67-13833-S
难驾驭	67-13883-S
雀	66-51997-S,66-52038-S,66-52066-S
雀 雀	66-51997-B,66-52038-B,66-52066-B
雀噪	66-52093-S
雀噪 雀噪	66-52093-B
雀子	66-52174-S
雀子 雀子	66-52174-B
雀巢	66-52224-S
雀巢 雀巢	66-52224-B
雀形目	66-52266-S
雀形目 雀形目	66-52266-B
雀斑	66-52347-S
雀斑 雀斑	66-52347-B
雀盲	66-52390-S
雀盲 雀盲	66-52390-B
雀盲眼	66-52440-S
雀盲眼 雀盲眼	66-52440-B
雀跃	66-52511-S
雀躍 雀跃	66-52511-B
雀鳥 雀鸟	66-52611-B
雀鷹 雀鹰	66-52653-B
雀鸟	66-52611-S
雀鹰	66-52653-S
雁	66-52718-S
雁 雁	66-52718-B
雂	66-52751-S
雂 雂	66-52751-B
雄	66-52780-S
雄 雄	66-52780-B
雄伟	66-52816-S
雄偉 雄伟	66-52816-B
雄健	66-52857-S
雄健 雄健	66-52857-B
雄兽	66-53459-S
雄厚	66-52918-S
雄厚 雄厚	66-52918-B
雄县	66-53507-S
雄壮	66-52977-S
雄壯 雄壮	66-52977-B
雄心	66-53059-S
雄心 雄心	66-53059-B
雄性	66-53126-S
雄性 雄性	66-53126-B
雄性激素	66-53167-S
雄性激素 雄性激素	66-53167-B
雄才大略	66-53249-S
雄才大略 雄才大略	66-53249-B
雄浑	66-53331-S
雄渾 雄浑	66-53331-B
雄激素	66-53389-S
雄激素 雄激素	66-53389-B
雄獸 雄兽	66-53459-B
雄縣 雄县	66-53507-B
雄蕊	66-53565-S
雄蕊 雄蕊	66-53565-B
雄蜂	66-53629-S
雄蜂 雄蜂	66-53629-B
雄赳赳	66-53677-S
雄赳赳 雄赳赳	66-53677-B
雄辩	66-53743-S
雄辩家	66-53805-S
雄辯 雄辩	66-53743-B
雄辯家 雄辩家	66-53805-B
雄配子	66-53859-S
雄配子 雄配子	66-53859-B
雄酯酮	66-53927-S
雄酯酮 雄酯酮	66-53927-B
雄雞 雄鸡	66-54000-B
雄鷹 雄鹰	66-54042-B
雄鸡	66-54000-S
雄鹰	66-54042-S
雄鹿	66-54127-S
雄鹿 雄鹿	66-54127-B
雄黃 雄黄	66-54171-B
雄黄	66-54171-S
雅	66-54229-S
雅 雅	66-54229-B
雅丹地貌	66-54258-S
雅丹地貌 雅丹地貌	66-54258-B
雅乐	66-55268-S
雅克	66-54353-S
雅克 雅克	66-54353-B
雅典	66-54399-S
雅典 雅典	66-54399-B
雅典卫城	66-54509-S
雅典娜	66-54459-S
雅典娜 雅典娜	66-54459-B
雅典衛城 雅典卫城	66-54509-B
雅加达	66-54589-S
雅加達 雅加达	66-54589-B
雅各	66-54639-S
雅各 雅各	66-54639-B
雅各书	66-54749-S
雅各伯	66-54683-S
雅各伯 雅各伯	66-54683-B
雅各書 雅各书	66-54749-B
雅威	66-54830-S
雅威 雅威	66-54830-B
雅安	66-54869-S
雅安 雅安	66-54869-B
雅安地区	66-54939-S
雅安地區 雅安地区	66-54939-B
雅安市	66-55031-S
雅安市 雅安市	66-55031-B
雅尔塔	66-55814-S
雅思	66-55112-S
雅思 雅思	66-55112-B
雅恩德	66-55197-S
雅恩德 雅恩德	66-55197-B
雅樂 雅乐	66-55268-B
雅歌	66-55410-S
雅歌 雅歌	66-55410-B
雅江	66-55561-S
雅江 雅江	66-55561-B
雅法	66-55626-S
雅法 雅法	66-55626-B
雅法港	66-55678-S
雅法港 雅法港	66-55678-B
雅温得	66-55736-S
雅溫得 雅温得	66-55736-B
雅爾塔 雅尔塔	66-55814-B
雅砻江	66-55861-S
雅礱江 雅砻江	66-55861-B
雅罗鱼	66-55920-S
雅羅魚 雅罗鱼	66-55920-B
雅美族	66-55967-S
雅美族 雅美族	66-55967-B
雅虎	66-56021-S
雅虎 雅虎	66-56021-B
雅諾什 雅诺什	66-56058-B
雅诺什	66-56058-S
雅閣 雅阁	66-56125-B
雅阁	66-56125-S
雅魯藏布大峽谷 雅鲁藏布大峡谷	66-56196-B
雅魯藏布江 雅鲁藏布江	66-56357-B
雅鲁藏布大峡谷	66-56196-S
雅鲁藏布江	66-56357-S
集	66-56500-S
集 集	66-56500-B
集中	66-56610-S
集中 集中	66-56610-B
集中器	66-56723-S
集中器 集中器	66-56723-B
集中營 集中营	66-56780-B
集中的策略	66-56845-S
集中的策略 集中的策略	66-56845-B
集中营	66-56780-S
集会	66-58379-S
集体	66-60332-S
集体主义	66-60374-S
集体化	66-60439-S
集体户	66-60531-S
集体防护	66-60599-S
集刊	66-56925-S
集刊 集刊	66-56925-B
集合	66-57004-S
集合 集合	66-57004-B
集合体	66-57127-S
集合論 集合论	66-57066-B
集合论	66-57066-S
集合體 集合体	66-57127-B
集团	66-57194-S
集团军	66-57250-S
集團 集团	66-57194-B
集團軍 集团军	66-57250-B
集子	66-57324-S
集子 集子	66-57324-B
集宁	66-57538-S
集安	66-57381-S
集安 集安	66-57381-B
集安市	66-57454-S
集安市 集安市	66-57454-B
集寧 集宁	66-57538-B
集居	66-57608-S
集居 集居	66-57608-B
集市	66-57665-S
集市 集市	66-57665-B
集市貿易 集市贸易	66-57716-B
集市贸易	66-57716-S
集思广益	66-57782-S
集思廣益 集思广益	66-57782-B
集成	66-57961-S
集成 集成	66-57961-B
集成电路	66-58033-S
集成電路 集成电路	66-58033-B
集拢	66-58111-S
集攏 集拢	66-58111-B
集散	66-58166-S
集散 集散	66-58166-B
集散地	66-58226-S
集散地 集散地	66-58226-B
集料	66-58288-S
集料 集料	66-58288-B
集會 集会	66-58379-B
集权	66-58585-S
集材	66-58435-S
集材 集材	66-58435-B
集束	66-58475-S
集束 集束	66-58475-B
集束炸弹	66-58518-S
集束炸彈 集束炸弹	66-58518-B
集權 集权	66-58585-B
集注	66-58644-S
集注 集注	66-58644-B
集管	66-58703-S
集管 集管	66-58703-B
集約 集约	66-58762-B
集納 集纳	66-58860-B
集結 集结	66-58921-B
集線器 集线器	66-58975-B
集约	66-58762-S
集纳	66-58860-S
集线器	66-58975-S
集结	66-58921-S
集群	66-59032-S
集群 集群	66-59032-B
集聚	66-59104-S
集聚 集聚	66-59104-B
集腋成裘	66-59151-S
集腋成裘 集腋成裘	66-59151-B
集萃	66-59319-S
集萃 集萃	66-59319-B
集装箱	66-59360-S
集装箱船	66-59433-S
集裝箱 集装箱	66-59360-B
集裝箱船 集装箱船	66-59433-B
集訓 集训	66-59509-B
集训	66-59509-S
集貿 集贸	66-59550-B
集資 集资	66-59595-B
集資額 集资额	66-59661-B
集賢 集贤	66-59747-B
集贤	66-59747-S
集贸	66-59550-S
集资	66-59595-S
集资额	66-59661-S
集运	66-59815-S
集運 集运	66-59815-B
集邮	66-60007-S
集部	66-59890-S
集部 集部	66-59890-B
集郵 集邮	66-60007-B
集錦 集锦	66-60066-B
集鎮 集镇	66-60147-B
集锦	66-60066-S
集镇	66-60147-S
集集鎮 集集镇	66-60185-B
集集镇	66-60185-S
集餐	66-60256-S
集餐 集餐	66-60256-B
集體 集体	66-60332-B
集體主義 集体主义	66-60374-B
集體化 集体化	66-60439-B
集體戶 集体户	66-60531-B
集體防護 集体防护	66-60599-B
雇	6-52215-S
雇主	66-60674-S
雇主 雇主	66-60674-B
雇佣	6-52291-S,66-60715-S
雇傭 雇佣	66-60715-B
雇员	6-52336-S
雇員	66-60766-S
雇員 雇員	66-60766-B
雇用	6-52378-S
雉	66-60835-S
雉 雉	66-60835-B
雉雞 雉鸡	66-60873-B
雉鸡	66-60873-S
雊	66-60914-S
雊 雊	66-60914-B
雋 隽	66-60956-B
雌	66-61001-S
雌 雌	66-61001-B
雌三醇	66-61029-S
雌三醇 雌三醇	66-61029-B
雌性	66-61081-S
雌性 雌性	66-61081-B
雌性接口	66-61121-S
雌性接口 雌性接口	66-61121-B
雌激素	66-61193-S
雌激素 雌激素	66-61193-B
雌花	66-61255-S
雌花 雌花	66-61255-B
雌蕊	66-61301-S
雌蕊 雌蕊	66-61301-B
雌雄	66-61340-S
雌雄 雌雄	66-61340-B
雌雄同体	66-61390-S
雌雄同体人	66-61462-S
雌雄同體 雌雄同体	66-61390-B
雌雄同體人 雌雄同体人	66-61462-B
雌雄异色	66-61547-S
雌雄異色 雌雄异色	66-61547-B
雌黃 雌黄	66-61619-B
雌黄	66-61619-S
雍	66-61745-S
雍 雍	66-61745-B
雍容	66-61792-S
雍容 雍容	66-61792-B
雍容大度	66-61855-S
雍容大度 雍容大度	66-61855-B
雍正	66-61919-S
雍正 雍正	66-61919-B
雎	66-61965-S
雎 雎	66-61965-B
雏	67-2899-S
雏儿	67-2938-S
雏凤	67-3342-S
雏妓	67-3065-S
雏形	67-3122-S
雏燕	67-3197-S
雏菊	67-3244-S
雏鸡	67-3282-S
雏鸽	67-3432-S
雑	66-62003-S
雑 雑	66-62003-B
雒	66-62052-S
雒 雒	66-62052-B
雕	23-56596-S,66-62110-S,70-57279-S
雕 雕	66-62110-B
雕像	66-62148-S
雕像 雕像	66-62148-B
雕具座	70-57315-S
雕刻	66-62191-S
雕刻 雕刻	66-62191-B
雕刻品	23-56688-S
雕刻家	23-56742-S
雕塑	66-62252-S
雕塑 雕塑	66-62252-B
雕梁画栋	66-62330-S
雕楹碧槛	23-56795-S
雕樑畫棟 雕梁画栋	66-62330-B
雕漆	66-62418-S
雕漆 雕漆	66-62418-B
雕版	23-56865-S
雕花	66-62470-S
雕花 雕花	66-62470-B
雕虫小技	66-62548-S
雕虫篆刻	66-62664-S
雕蟲小技 雕虫小技	66-62548-B
雕蟲篆刻 雕虫篆刻	66-62664-B
雕鐫 雕镌	66-62781-B
雕镌	66-62781-S
雖 虽	66-62852-B
雖則 虽则	66-62895-B
雖死猶榮 虽死犹荣	66-62949-B
雖死猶生 虽死犹生	66-63023-B
雖然 虽然	66-63098-B
雖說 虽说	66-63160-B
雗	66-63210-S
雗 雗	66-63210-B
雘	66-63249-S
雘 雘	66-63249-B
雙 双	66-63297-B
雙乳 双乳	66-63358-B
雙人 双人	66-63401-B
雙人床 双人床	66-63467-B
雙人房 双人房	66-63528-B
雙人滑 双人滑	66-63588-B
雙人間 双人间	66-63648-B
雙休日 双休日	66-63716-B
雙倍 双倍	66-63786-B
雙倍體 双倍体	66-63837-B
雙側 双侧	66-63913-B
雙光氣 双光气	66-63968-B
雙凸面 双凸面	66-64027-B
雙刃 双刃	66-64114-B
雙十節 双十节	66-64169-B
雙名法 双名法	66-64229-B
雙向 双向	66-64309-B
雙唇音 双唇音	66-64361-B
雙喜 双喜	66-64437-B
雙喜臨門 双喜临门	66-64569-B
雙城 双城	66-64670-B
雙城子 双城子	66-64747-B
雙塔 双塔	66-64808-B
雙塔區 双塔区	66-64898-B
雙套 双套	66-64998-B
雙子 双子	66-65053-B
雙子座 双子座	66-65107-B
雙子葉 双子叶	66-65199-B
雙層 双层	66-65308-B
雙峰 双峰	66-65371-B
雙復磷 双复磷	66-65440-B
雙性戀 双性恋	66-65515-B
雙截棍 双截棍	66-65585-B
雙手 双手	66-65686-B
雙打 双打	66-65737-B
雙抽 双抽	66-65792-B
雙拼 双拼	66-65845-B
雙擊 双击	66-65895-B
雙數 双数	66-65943-B
雙方 双方	66-65991-B
雙曲正弦 双曲正弦	66-66071-B
雙曲線 双曲线	66-66162-B
雙曲線正弦 双曲线正弦	66-66219-B
雙曲餘弦 双曲余弦	66-66322-B
雙月刊 双月刊	66-66412-B
雙柏 双柏	66-66481-B
雙核 双核	66-66549-B
雙槓 双杠	66-66606-B
雙橋區 双桥区	66-66676-B
雙氧水 双氧水	66-66756-B
雙氯滅痛 双氯灭痛	66-66832-B
雙氯芬酸鈉 双氯芬酸钠	66-66935-B
雙氯醇胺 双氯醇胺	66-67021-B
雙流 双流	66-67090-B
雙湖 双湖	66-67182-B
雙溪鄉 双溪乡	66-67247-B
雙牌 双牌	66-67329-B
雙獨 双独	66-67396-B
雙獨夫婦 双独夫妇	66-67491-B
雙球菌 双球菌	66-67605-B
雙生 双生	66-67664-B
雙生兄弟 双生兄弟	66-67708-B
雙眼皮 双眼皮	66-67783-B
雙管 双管	66-67843-B
雙節棍 双节棍	67-0-B
雙節棍道 双节棍道	67-102-B
雙簧 双簧	67-182-B
雙簧管 双簧管	67-252-B
雙絞線 双绞线	67-356-B
雙翅目 双翅目	67-433-B
雙胞胎 双胞胎	67-518-B
雙腳 双脚	67-570-B
雙膝 双膝	67-626-B
雙臺子 双台子	67-672-B
雙臺子區 双台子区	67-771-B
雙蕊蘭 双蕊兰	67-880-B
雙親 双亲	67-982-B
雙角犀 双角犀	67-1026-B
雙語 双语	67-1109-B
雙誤 双误	67-1154-B
雙贏 双赢	67-1214-B
雙足 双足	67-1296-B
雙軌 双轨	67-1356-B
雙連接站 双连接站	67-1405-B
雙週期性 双周期性	67-1489-B
雙遼 双辽	67-1575-B
雙遼市 双辽市	67-1658-B
雙邊 双边	67-1752-B
雙邊貿易 双边贸易	67-1799-B
雙重 双重	67-1873-B
雙重標准 双重标准	67-1918-B
雙鍵 双键	67-1996-B
雙鏈 双链	67-2053-B
雙鏈核酸 双链核酸	67-2106-B
雙開 双开	67-2267-B
雙陸棋 双陆棋	67-2365-B
雙陽 双阳	67-2421-B
雙陽區 双阳区	67-2516-B
雙音節 双音节	67-2621-B
雙魚座 双鱼座	67-2679-B
雙鴨山 双鸭山	67-2771-B
雚	67-2858-S
雚 雚	67-2858-B
雛 雏	67-2899-B
雛兒 雏儿	67-2938-B
雛妓 雏妓	67-3065-B
雛形 雏形	67-3122-B
雛燕 雏燕	67-3197-B
雛菊 雏菊	67-3244-B
雛雞 雏鸡	67-3282-B
雛鳳 雏凤	67-3342-B
雛鴿 雏鸽	67-3432-B
雜 杂	67-3486-B
雜七雜八 杂七杂八	67-3542-B
雜亂 杂乱	67-3654-B
雜亂無章 杂乱无章	67-3692-B
雜交 杂交	67-3812-B
雜件 杂件	67-3854-B
雜件兒 杂件儿	67-3907-B
雜劇 杂剧	67-3969-B
雜劇四大家 杂剧四大家	67-4038-B
雜務 杂务	67-4127-B
雜噪 杂噪	67-4186-B
雜多 杂多	67-4233-B
雜婚 杂婚	67-4294-B
雜家 杂家	67-4341-B
雜居 杂居	67-4478-B
雜工 杂工	67-4569-B
雜感 杂感	67-4626-B
雜戲 杂戏	67-4693-B
雜技 杂技	67-4766-B
雜拌兒 杂拌儿	67-4808-B
雜文 杂文	67-4886-B
雜沓 杂沓	67-4924-B
雜流 杂流	67-4986-B
雜湊 杂凑	67-5049-B
雜燴 杂烩	67-5132-B
雜牌 杂牌	67-5199-B
雜牌兒 杂牌儿	67-5270-B
雜環 杂环	67-5350-B
雜稅 杂税	67-5403-B
雜糅 杂糅	67-5471-B
雜糧 杂粮	67-5517-B
雜耍 杂耍	67-5589-B
雜色 杂色	67-5644-B
雜草 杂草	67-5694-B
雜記 杂记	67-5732-B
雜誌 杂志	67-5820-B
雜說 杂说	67-5861-B
雜谷腦 杂谷脑	67-5958-B
雜谷腦鎮 杂谷脑镇	67-6025-B
雜貨 杂货	67-6119-B
雜貨商 杂货商	67-6181-B
雜貨店 杂货店	67-6233-B
雜貨攤 杂货摊	67-6300-B
雜費 杂费	67-6371-B
雜質 杂质	67-6436-B
雜錄 杂录	67-6477-B
雜集 杂集	67-6548-B
雜音 杂音	67-6604-B
雜項 杂项	67-6642-B
雜食 杂食	67-6690-B
雜食動物 杂食动物	67-6764-B
雜鹽 杂盐	67-6827-B
雝	67-6918-S
雝 雝	67-6918-B
雞 鸡	67-6952-B
雞丁 鸡丁	67-6986-B
雞冠 鸡冠	67-7038-B
雞奸 鸡奸	67-7087-B
雞姦 鸡奸	67-7152-B
雞尾酒 鸡尾酒	67-7203-B
雞巴 鸡巴	67-7255-B
雞年 鸡年	67-7300-B
雞東 鸡东	67-7362-B
雞毛店 鸡毛店	67-7430-B
雞澤 鸡泽	67-7526-B
雞犬升天 鸡犬升天	67-7583-B
雞皮疙瘩 鸡皮疙瘩	67-7763-B
雞眼 鸡眼	67-7839-B
雞翅 鸡翅	67-7878-B
雞肉 鸡肉	67-7936-B
雞腳 鸡脚	67-7981-B
雞蛋 鸡蛋	67-8027-B
雞蛋殼兒 鸡蛋壳儿	67-8083-B
雞蛋炒飯 鸡蛋炒饭	67-8143-B
