dà xīn	17-19646-B
dà xīng	17-32707-B
dà xīng qū	17-32770-B
dà xīng xīng	17-27527-B
dà xīng yún	4-28475-S,42-24542-S
dà xīng ān lǐn dì qū	17-32866-B
dà xū shēng	14-48269-S
dà xǐ	17-10381-B
dà xǐ guò wàng	17-10423-B
dà ye	17-27250-B
dà yuàn	17-38637-B
dà yuàn dì zàng pú sà	17-40643-B
dà yuán	17-9771-B,17-11116-B
dà yuán dà yī tǒng zhì	17-6216-B
dà yuán quān	17-11186-B
dà yuán xiāng	17-11039-B
dà yuè	17-20780-B
dà yuè jìn	17-35946-B
dà yuè zhī	17-20860-B,17-20956-B
dà yuē	17-30573-B
dà yà wān	17-5066-B
dà yàn	17-39402-B
dà yàn tǎ	17-39445-B
dà yàng	17-23036-B
dà yào	17-35132-B
dà yá	48-4538-S
dà yáng	17-24908-B,37-36054-S
dà yáng zhōng jǐ	17-24948-B
dà yáng zhōu	17-25028-B
dà yáo	17-13658-B
dà yáo dà bǎi	17-19151-B
dà yáo xiàn	17-13718-B
dà yè	17-22855-B
dà yè xìng fèi yán	17-33826-B
dà yé	17-27182-B,51-26408-S
dà yì	17-17939-B,17-30874-B,17-36543-B,44-1967-S,48-49237-S
dà yì lǐn rán	17-30987-B
dà yì miè qīn	17-31103-B
dà yì xiàn	17-36602-B
dà yìn	17-8501-B
dà yí	17-13785-B
dà yí zi	17-13862-B
dà yín háng	2-54078-S
dà yòng	17-28311-B
dà yù	17-27580-B
dà yùn	17-36343-B
dà yùn hé	4-3293-S,17-36391-B
dà yú	17-18002-B,17-19942-B,17-41297-B,29-53078-S
dà yú qiú	5-22103-S
dà yú xiàn	17-41365-B
dà yú xīn sǐ	13-32621-S,25-37522-S
dà yā lì	21-61154-S
dà yān	17-26801-B
dà yě	17-6724-B
dà yī	17-3966-B,17-34669-B
dà yī tǒng zhì	17-4082-B,17-6216-S
dà yī xiē	17-4027-B
dà yīng bó wù guǎn	17-33232-B
dà yīng dì guó	17-33316-B
dà yīng lián hé wáng guó	17-33389-B
dà yōng	17-17052-B
dà yǎ	17-39509-B
dà yǎ xiāng	17-39606-B
dà yǎ zhī táng	2-19765-S
dà yǎn	40-7232-S
dà yǎng bā	17-24300-B
dà yǒng ruò qiè	17-7886-B
dà yǒu	17-21052-B
dà yǒu kě wéi	17-21298-B
dà yǒu rén zài	17-21109-B
dà yǒu wén zhāng	17-21518-B
dà yǒu xī wàng	17-21418-B
dà yǒu zuò wéi	17-21195-B
dà yǔ	6-48408-S,17-29797-B,17-39967-B
dà yǔ rú zhù	17-40009-B
dà yǔ shān	17-16572-B
dà yǔ xiǎo	67-22549-S
dà zhuàn	17-30240-B
dà zhài	17-15282-B
dà zhàn	2-39207-S,3-36720-S,3-36968-S,17-18427-B,31-30958-S,44-52173-S,48-9058-S,48-11398-S
dà zhèn	51-65363-S
dà zhèng	17-23361-B
dà zhì	17-17619-B,17-32567-B
dà zhì huì	17-20438-B
dà zhì ruò yú	17-20517-B
dà zhì rú yú	17-20304-B
dà zhí	34-34673-S
dà zhòng	17-28918-B
dà zhòng chuán bō	17-28973-B
dà zhòng huà	17-29049-B
dà zhòng mǎ	17-5162-B
dà zhú	17-30045-B
dà zhāi	17-42837-B
dà zhāi jié	17-42994-B
dà zhāi qī	17-42899-B
dà zhāng dá fá	17-17476-B
dà zhāng qí gǔ	17-17557-B
dà zhāo	33-1643-S
dà zhāo fēng	34-60695-S
dà zhāo sì	17-20253-B
dà zhōng	64-8922-S
dà zhōng xué sheng	17-4461-B
dà zhōu	17-25081-B
dà zhǐ	17-18911-B
dà zhǔ jiào	15-50241-S,17-4554-B
dà zuò	17-5350-B,21-2182-S
dà zào	17-26339-B
dà zá huì	17-39679-B
dà zá yuàn	17-39749-B
dà zì bào	17-14245-B
dà zì rán	17-32496-B
dà zú	17-35849-B
dà zāi	17-26404-B
dà zǎo	1-5821-S
dà zǎo 5r	1-5913-S
dà zǐ jīng xūn zhāng	17-30625-B
dà zǒng tǒng	17-30782-B
dà è jí	50-51633-S
dà ér	17-5004-B
dà ān	17-14513-B
dà ān dì liè sī	17-14739-B
dà ān dì liè sī qún dǎo	17-14818-B
dà ān qū	17-14587-B
dà ān shì	17-14654-B
dà ān xiāng	17-14919-B
dà ěr	52-12439-S
dài	1-1792-S,1-7702-S,1-27001-S,1-30112-S,1-33013-S,1-42591-S,1-45966-S,1-58108-S,2-37725-S,2-76192-S,3-32381-S,3-46822-S,3-61538-S,3-66830-S,4-30112-B,4-38274-S,5-10207-S,5-10284-S,5-44596-S,5-46688-S,5-63756-S,6-1407-S,6-11901-S,6-33590-S,6-34354-S,6-35294-S,6-35787-S,6-41669-S,6-60921-S,6-61320-S,7-32146-S,7-68057-S,8-19827-S,8-22188-S,9-39666-S,9-41873-S,9-56939-S,9-67952-S,10-30504-S,10-34258-S,10-49827-S,10-56844-S,11-13933-S,11-23081-S,11-29535-S,11-57764-S,11-69609-S,12-439-S,12-4052-S,12-44573-S,12-48319-S,13-10905-S,13-50139-S,13-58017-S,14-41978-S,15-34009-S,15-40516-S,15-46122-S,15-46251-S,15-64416-B,16-47322-S,17-3937-B,17-56714-S,17-70269-S,18-2566-S,19-336-S,19-23718-S,19-34915-S,20-9343-S,20-25292-S,20-25653-S,20-27429-S,20-27720-S,20-49597-S,21-386-S,21-538-S,21-25857-S,21-37010-B,22-27365-B,22-27849-B,22-39379-S,22-47102-S,22-67113-S,23-39413-S,23-64931-B,23-66860-S,24-15670-S,24-56702-B,25-35235-S,25-42050-S,25-49236-S,25-58577-S,25-63506-S,26-17598-S,26-23202-B,27-36174-S,27-41664-S,27-47573-S,28-7777-S,28-13280-S,28-25867-S,28-45850-S,29-17649-S,29-22752-S,29-33874-S,29-44664-S,30-49320-S,30-52136-S,30-53031-S,30-58730-S,30-60658-S,30-68721-S,31-1208-S,31-22043-S,31-34761-S,31-34938-S,31-39189-S,31-63029-S,32-2691-S,32-7010-S,32-8196-S,32-16983-S,32-32452-S,32-47547-S,32-51064-S,32-59533-S,33-11410-S,35-21838-S,35-24423-S,35-51348-S,35-60240-B,36-3457-S,37-7083-S,37-17621-S,37-25575-S,38-19025-S,38-58640-S,39-21162-S,39-48369-S,40-20835-S,41-3570-S,41-4110-S,41-18678-S,41-20227-S,42-41443-B,42-48858-S,43-8664-S,43-15498-B,43-49603-S,43-54507-S,43-55937-S,43-65728-S,44-54115-S,44-65363-S,45-205-S,45-3563-S,45-3657-S,45-28550-S,45-37042-S,45-38456-S,45-51872-S,45-55381-S,46-5067-S,46-9775-S,46-35156-S,47-23463-S,47-51397-S,47-51437-S,48-8383-S,48-9811-S,48-10781-S,48-11811-S,48-12211-S,48-12832-S,48-18596-S,49-18777-S,49-22107-S,49-34937-B,49-45390-S,49-54488-S,50-9086-S,50-18475-S,50-38967-S,51-65586-S,52-17491-S,52-40928-S,52-42160-S,52-48793-S,52-52980-S,53-5255-S,53-28359-S,53-28904-S,53-39589-B,53-67167-S,54-11571-S,54-43385-S,55-18574-S,55-48345-S,55-50775-S,55-54020-S,55-55939-S,56-33780-S,56-42680-S,56-50071-B,57-1906-S,57-11630-S,57-12432-B,57-37916-S,59-40996-S,59-45811-B,60-118-S,61-42722-S,61-47396-S,61-50347-B,61-51698-S,62-18172-S,62-26443-B,64-7424-S,64-21583-S,64-24120-S,64-42224-S,64-42458-S,64-42707-S,64-44948-S,64-49224-S,66-15676-S,66-32439-S,66-38773-S,66-43589-S,67-50452-B,67-59063-S,68-6714-S,68-10915-S,68-14041-S,68-23489-S,68-34422-S,68-41802-S,68-56954-S,68-60426-S,69-1201-S,69-9249-S,70-12169-S,70-26937-S,71-15642-S,71-37341-B
dài 5r	22-28042-B
dài biāo shí	22-28558-B
dài biǎo	1-30647-S,4-11729-S,4-33061-B,7-38048-S,15-45041-S,69-21954-S
dài biǎo duì	4-33361-B
dài biǎo dà huì	7-35145-S
dài biǎo tuán	4-33235-B
dài biǎo xìng	4-33292-B
dài biǎo zuò	4-33145-B
dài bàn	4-33720-B
dài bì	33-11757-S
dài bìng	22-28699-B
dài bǔ	14-26362-S,62-26483-B
dài chuán dòng	44-65414-S
dài chē	21-25922-S
dài chū	22-47192-S
dài chǒu wén	22-29127-B
dài cì	22-28143-B
dài cí	4-15256-S,4-33471-B,11-54751-S,27-60687-S,44-3957-S
dài diàn	2-7042-S,22-29223-B
dài diàn lì zǐ	22-29296-B
dài duò	24-56885-B
dài dài xiāng chuán	4-30348-B
dài dào	22-28098-B
dài dé	25-41000-S
dài dòng	22-28268-B
dài dùn	4-33852-B
dài dǎo	4-32724-B
dài fu	17-13281-B
dài fā	30-16343-S
dài fāng	59-45916-B
dài fēng bào	41-18800-S
dài fū	69-39404-S
dài guǎng chǎng	31-39243-S
dài gòu	4-33662-B
dài gāo lè	26-24308-B
dài gěi	22-28819-B
dài gōng	24-56753-B
dài gōu	4-32332-B
dài huà	14-46395-S,15-13644-S,21-56112-S,42-48935-S,47-17802-S,48-11870-S,61-41561-S
dài huáng	17-42573-B
dài huáng dì	32-59582-S
dài huáng jīn jiǎ	39-36865-S
dài huì	27-41870-S,57-66888-S
dài huí	22-28380-B
dài hào	4-33018-B,52-10587-S
dài hé qū	10-31553-S
dài hóng sè	22-28767-B
dài hū	24-56842-B
dài jià	4-30474-B
dài jiè	30-51886-S
dài jiāo tì	2-37839-S
dài jiě	23-65255-B
dài jìn	14-11917-S,22-28204-B
dài jí tuán	42-49254-S
dài jī	46-35202-S
dài jǔ	44-55698-S
dài kuáng	53-4483-S
dài kuān	7-70445-S,22-28468-B
dài kuǎn	6-57876-S,9-61310-S,27-14818-S,35-21485-S,59-45990-B
dài kuǎn rén	59-46061-B
dài kè	4-33511-B
dài kè bó chē	4-30769-B
dài kòu	4-30925-B,22-29183-B
dài kǎo	4-32955-B,23-65184-B
dài kǒu	27-22306-S,27-35941-S,29-33755-S
dài liú suān nà	46-23742-S
dài lái	22-27974-B
dài láo	4-39235-S
dài lì sī	4-30551-B
dài lù	22-28970-B,22-29381-B
dài lù rén	22-29060-B
dài lǐ	4-32380-B
dài lǐ rén	4-32475-B
dài lǐng	22-29418-B
dài lǜ mào zi	26-23858-B
dài lǜ tóu jīn	26-23950-B
dài miào	21-37321-B
dài màn	24-56927-B
dài mào	42-41487-B
dài mìng	25-59519-S
dài míng cí	4-30600-B
dài míng shì	26-23388-B
dài mǎ	4-32524-B,6-23985-S,15-4601-S,25-21245-S,39-15756-S
dài mǎ duàn	4-32615-B
dài mǎ yè	4-32672-B
dài ná mǎi tè	4-30999-B
dài nǚ	27-35597-S
dài pài	42-49123-S
dài pá	62-22729-S
dài páo	60-25771-S
dài pén wàng tiān	26-23741-B
dài pǎo	62-20560-S
dài pǐn	32-17057-S
dài qu	22-28338-B
dài shang	26-23278-B
dài shuō	2-8160-S
dài shuǐ	27-37181-S
dài shèng	26-23332-B
dài shì	28-26010-S
dài shí bān yú	1-27690-S
dài shí guó	3-46892-S
dài shù	3-68952-S,4-31068-B,9-1068-S,12-63784-S,22-16719-S,27-17920-S,33-577-S,37-35910-S,50-16689-S,70-19320-S
dài shù cù	4-32070-B,70-20202-S
dài shù fāng chéng	4-31756-B
dài shù hán shù	4-31109-B
dài shù hán shù lùn	4-31194-B
dài shù hé	4-31294-B
dài shù jī běn dìng lǐ	4-31351-B
dài shù jǐ hé	4-31458-B
dài shù jǐ hé xué	4-31530-B
dài shù liàng	4-32139-B
dài shù liú xíng	4-31997-B
dài shù qū miàn	4-31924-B
dài shù qū xiàn	4-31853-B
dài shù shì	4-31613-B
dài shù tuò pū	4-31675-B
dài shù xué	3-69037-S
dài shān	21-37255-B
dài shǐ	3-47017-S,12-497-S,30-43553-S,53-27889-S,61-47442-S,61-48590-S
dài shǔ	21-578-S,56-50221-B
dài suǒ	27-41801-S
dài suǒ zhuā	33-39813-S
dài sì dà měi nǚ	2-55115-S
dài sǐ	33-11847-S
dài tián	4-30652-B
dài tiān	1-70704-S
dài táng	4-32781-B
dài táo jiāng	33-640-S
dài tì	4-32204-B,10-18713-S
dài tì zhě	4-32278-B
dài tóng táng	1-30162-S
dài tóu	22-29463-B
dài tīng	71-3053-S
dài tōng shǐ	38-58713-S
dài wéi sī	26-24074-B,42-58699-S
dài wéi sī bēi	26-24148-B
dài wéi yíng	26-24252-B
dài wǔ	42-49197-S
dài xiàn	4-32832-B
dài xiè	4-33585-B,30-57940-S
dài xiè bìng	63-42851-S
dài xióng	34-61842-S,56-50152-B
dài xiāng chuán	2-37921-S,4-30348-S
dài xiāo cǎo	23-65031-B
dài xiě	4-30836-B
dài xì	22-17450-S
dài xìng	42-49067-S
dài xíng shì	42-48994-S
dài yuán	27-41741-S,28-25952-S
dài yán rén	4-33417-B
dài yè	23-65093-B
dài yù	23-65317-B,32-20954-S,33-35296-S,41-56729-S
dài yùn	4-30716-B
dài yùn shū jī	44-65492-S
dài yú	7-51114-S,22-29538-B,41-18870-S
dài yīn	12-12805-S
dài yīn yuè	42-49318-S
dài yǒu	22-28512-B
dài yǒu sè yǎn jìng	26-23583-B
dài yǔ lín	41-18726-S
dài zhuàng pào zhěn	22-28610-B
dài zhuàng tài	67-21156-S
dài zhuī rén	49-45481-S
dài zhèn	22-17507-S
dài zhì shàng	35-51416-S
dài zhì xià	35-51497-S
dài zhě	29-33925-S
dài zhī	11-58918-S
dài zhī yǐ	4-30250-B
dài zhōng guó	61-56868-S
dài zhǔ yì	24-698-S
dài zi	17-34723-S,22-28427-B,56-50117-B
dài zuì gāo yáng	4-32887-B
dài zōng	21-37066-B
dài zǒu	22-28864-B
dài ān nà	26-23457-B,71-37404-B
dài ān nà wáng fēi	26-23512-B
dài ěr	26-23704-B,54-1630-S,54-61632-S
dàn	1-1835-S,1-10483-S,1-13362-S,1-13458-S,1-67829-S,2-68493-S,2-70951-S,3-37658-S,4-43883-S,4-64505-B,5-60516-S,6-31282-S,6-45858-S,6-51275-B,6-62028-S,7-30040-S,8-19723-S,8-21880-S,9-69170-S,10-23214-S,11-32040-S,11-47388-S,11-47494-S,11-47853-S,11-47906-S,11-52932-S,13-63957-B,13-64010-B,14-9198-S,14-33913-B,15-40310-S,16-35207-S,17-12837-S,19-1239-S,19-1467-S,19-1542-S,19-1618-S,19-16593-S,19-38409-S,19-45950-S,20-12923-S,20-58602-S,20-63938-S,21-51624-S,22-43096-S,23-46516-B,23-46884-B,23-50315-S,24-42402-S,24-65947-S,25-47649-S,25-56335-B,25-57846-B,26-20228-S,26-34178-S,28-55333-S,29-6264-S,29-7365-S,29-22463-B,30-9935-S,31-12669-B,31-41228-S,31-61759-S,33-28639-S,33-57465-S,34-42755-S,35-37287-S,36-3885-S,36-7026-S,36-7597-S,36-34046-S,36-35238-B,37-1596-S,37-13650-S,38-38011-S,38-38402-S,38-43245-B,38-43780-S,38-55224-S,38-57019-S,38-63060-S,39-8428-S,39-34964-S,39-43788-S,40-4096-B,40-7028-S,40-29153-S,40-29251-S,40-30338-S,40-31056-S,41-7813-S,41-10600-S,41-34619-S,42-33267-S,42-51830-S,43-57407-S,44-2685-S,44-20713-B,45-135-S,45-58537-S,46-3657-B,46-18598-S,46-22972-S,47-10555-S,47-33927-S,47-46334-S,47-46421-S,47-55911-B,48-7833-S,49-4069-S,49-5388-S,49-10688-S,51-51044-S,52-3895-S,52-7985-S,52-21663-S,52-52487-S,53-7671-S,53-16672-S,53-56663-S,54-18313-S,54-19628-S,54-36298-S,54-42378-B,55-60525-B,56-4088-B,56-55046-S,56-61155-S,57-21454-S,58-23712-B,60-44611-S,63-14443-S,63-59259-S,65-60582-S,66-33007-S,66-58518-S,67-8027-S,67-40598-S,67-46197-B,67-62938-S,68-63248-S,69-32000-S,70-4584-S,70-24610-B,70-36055-S,70-54827-B,71-4580-S
dàn 5r	52-52532-S
dàn bái	24-20683-S,24-22213-S,42-52685-S,43-39938-S,44-45833-S,48-61425-S,50-47127-S,50-47704-S,52-7478-S,52-28696-S,55-60710-B,56-28032-S,57-45930-S,70-23177-S
dàn bái shí	55-60769-B
dàn bái sù	55-60818-B
dàn bái zhì	42-52248-S,55-60869-B
dàn bó	38-43841-B
dàn bù jīng	24-65993-S,54-18396-S
dàn chén	58-23818-B
dàn chǎo fàn	67-8143-S
dàn dà xué	24-14520-S
dàn dàn	38-43780-B
dàn dàn miàn	29-23021-B
dàn dào	23-50245-B
dàn dào dǎo dàn	23-50315-B
dàn dīng	4-64561-B
dàn dǎo dàn	11-47906-S
dàn guān xì	8-21931-S
dàn guāng	38-43340-B
dàn guǐ	28-55402-S
dàn gāo	43-21278-S,55-60921-B,71-30702-S
dàn gōng	23-48257-B
dàn huà	38-43383-B
dàn huáng	38-43899-B,55-61063-B
dàn huáng jiàng	55-61107-B
dàn huáng sù	55-61166-B
dàn huā tāng	55-60959-B
dàn huǒ chē	19-1278-S
dàn hé	49-4109-S,49-5428-S
dàn hé qián tǐng	20-58673-S
dàn jiá	23-47765-B
dàn jiè qì	36-35382-B
dàn jié	51-41928-S,51-51403-S
dàn jiǎo	31-12718-B
dàn jì	38-43429-B,67-40305-S
dàn jìn liáng jué	23-49491-B
dàn jìn yuán jué	23-49352-B
dàn jīng yíng	25-47723-S
dàn kuài lè	51-51269-S
dàn ké	23-49073-B,55-60608-B
dàn ké 5r	67-8083-S
dàn kēng	23-47571-B,63-6998-S
dàn kǎ	51-51209-S
dàn kǒng	23-47909-B
dàn liàng	61-7314-S
dàn lóng	47-60012-S
dàn lǎo rén	51-51491-S
dàn miàn	29-23021-S
dàn ní	51-44491-S
dàn ní shēng	4-64679-B
dàn piàn	23-49121-B
dàn pào	34-42310-S
dàn qián tǐng	20-58933-S
dàn qián xī	51-51138-S
dàn qì	36-35271-B
dàn shuǐ	38-43493-B
dàn shuǐ hú	38-43583-B
dàn shuǐ yú	38-43719-B
dàn shuǐ zhèn	38-43644-B
dàn shì	4-64740-B
dàn shì jiàn	37-1659-S
dàn shù	51-51342-S
dàn shā shǒu	53-7832-S
dàn shēng	58-23772-B
dàn shū	4-64785-B
dàn sī kè	33-65001-S
dàn tà	55-60563-B
dàn tóu	23-50378-B,33-57513-S
dàn wán	23-47048-B
dàn wú jī	54-18484-S
dàn wú qí	22-43165-S
dàn wǔ qì jì shù kòng zhì zhì dù	20-58774-S
dàn xìng	22-6875-S
dàn xí jī shì jiàn	53-7522-S
dàn yuàn	4-64844-B
dàn yào	10-21901-S,11-32219-S,23-49960-B,43-24523-S
dàn yào kù	23-50004-B
dàn yǎng huà wù	36-35312-B
dàn yǐ lǐ shū	4-64611-B
dàn zhèn	17-22440-S
dàn zhū	23-49225-B
dàn zi	29-22680-B
dàn è	23-58150-S
dàn ān suān	55-60649-B
dàng	1-2375-S,1-54246-S,2-19271-S,2-35303-S,6-60579-S,10-1432-S,10-1868-S,10-12744-S,14-57623-S,15-53402-S,17-66386-S,18-36445-S,19-7951-S,19-39247-B,19-46679-S,19-63464-S,23-16944-S,23-58922-S,24-8563-S,25-5753-S,25-30794-B,26-2787-S,26-57438-S,27-35886-S,27-70852-S,28-11193-S,28-46414-S,28-59878-S,29-20186-B,29-52833-S,30-27090-S,30-28862-S,30-59340-S,34-46129-S,35-11306-B,35-54643-S,37-41592-S,38-10729-S,38-11247-S,38-12055-S,38-46375-S,39-43626-S,40-5596-S,40-5693-S,41-51452-S,43-64540-B,45-14367-B,45-21415-S,46-30422-B,47-48762-S,47-49039-S,48-35791-B,48-39970-S,48-54571-S,52-41192-S,53-2847-S,54-23737-S,54-31457-B,55-15614-B,60-34302-S,60-34750-S,60-35009-S,62-37788-S,62-65554-S,63-18859-S,65-52839-S,67-40797-S,68-61241-S,70-16699-S
dàng bō li	68-55132-S
dàng chéng	43-67281-B
dàng chāng	19-39289-B
dàng chē	19-30227-S
dàng chǎn	6-47391-S
dàng cì	35-12286-B
dàng diào huán	29-30640-S
dàng dàng	38-10729-S,47-49039-S
dàng dí	55-15829-B
dàng fù	55-15695-B
dàng fú zhuāng	70-16761-S
dàng fǎ	52-39453-S
dàng gǎn	28-46464-S
dàng huí shì	43-66415-B
dàng huí shì 5r	43-66574-B
dàng jiāng hú	65-52966-S
dàng qiū qiān	45-14561-B
dàng qì huí cháng	55-15751-B
dàng qī	35-11426-B
dàng rán	45-14502-B,55-15928-B
dàng rán wú cún	55-16020-B
dàng shān	46-30468-B
dàng tiān	43-66975-B
dàng xìng	35-38125-S
dàng yàng	45-14418-B,55-15874-B
dàng yī huí shì	2-19338-S
dàng zhāo zhāng	60-34381-S
dàng zuò	43-65799-B,43-65852-B
dàng àn	35-11482-B
dàng àn fú wù	35-11962-B
dàng àn fēn pèi qū	35-11644-B
dàng àn guǎn	35-12225-B
dàng àn jiàn lì	35-11893-B
dàng àn shǔ xìng	35-11822-B
dàng àn zhuǎn sòng	35-12028-B
dàng àn zhuǎn sòng cún qǔ jí guǎn lǐ	35-12100-B
dàng àn zhí xíng	35-11735-B
