producto produxi productum	21-6266-B,22-98-B
productum	21-6266-S,22-98-S
produxi productum	21-6266-S,22-98-S
proeliator	41-1438-B
proeliator preliator	12-6104-B
proelium	6-4181-B
profano	21-6451-B,39-359-B
profanus	19-3759-B,41-5102-B
profari, profatus	37-3796-S
profatus	37-3796-S
profectio	10-3225-B,10-3262-B
profecto	39-6168-B
profectus	5-102-B
profero	29-6505-B,31-5477-B,36-4188-B
professio	10-1905-B,18-5806-B,18-5874-B
professor	6-2279-B
professorius	6-2251-B
professus	15-487-B
proficio	4-6915-B,33-147-B,34-5518-B
proficiscor	30-7305-B,37-5477-S,38-5139-B
proficuus, proficiscor	37-5477-B
profiteor	27-5196-B,30-2832-B,30-6105-B,34-4412-B
profor, profari, profatus	37-3796-B
profugus	13-1132-B
profui, profusum	35-3489-S
profundo, profui, profusum	35-3489-B
profundum	3-3944-B
profundus	10-2291-B
profusius	21-6722-B
profusum	35-3489-S
profuturus	6-6125-B
profuturus)	28-7039-S
progagus	20-111-B
progener	15-4903-B
progenero	35-5353-B
progenierum	13-6497-B
progenies	10-3714-B
progenitor	13-4901-B
progenitum	31-5316-S
progenitus	10-3692-B
progenui, progenitum	31-5316-S
progigno, progenui, progenitum	31-5316-B
prognatus	7-2372-B
progredior	33-36-B,34-5863-B
progressio	5-62-B
progressus	5-0-B
proh	5-1506-B
prohibeo	33-4043-B,35-4824-B
prohibitio	21-6780-B
proicio	38-3141-B
proinde	9-217-B
proinde ac si	16-6557-S
proinde quam	16-6662-S
proinde quasi, proinde ac si	16-6557-B
proinde ut, proinde quam	16-6662-B
prolabor	37-2700-B
prolapsio	4-298-B
prolatio	3-2964-B
prolato	31-5560-B
prolecto	31-6030-B
proles	10-3641-B,20-23-B
proletarius	3-3426-B
prolicio prolixi	34-3893-B
prolix	17-5437-B
prolixi	34-3893-S
prolixus	41-5244-B
proloquium	6-482-B
proloquor	37-3670-B
prolu prolutum	39-1111-S
proluo prolu prolutum	39-1111-B
prolusio	21-5335-B
prolutum	39-1111-S
proluvier	16-3565-B
proluvies	20-4828-B
promereo, promereor	31-297-B
promereor	31-297-S,31-4515-B
promerita	10-3969-B
promeritum	10-4247-B
prominens	16-6933-B
promineo	37-5214-B
promisce, promiscue	16-2258-B
promiscue	16-2258-S
promiscus promiscuus	18-5259-B
promiscuus	18-5259-S
promissio	3-7001-B,3-7022-B
promissor	3-7043-B
promissum	21-6963-B
promitto	11-5580-B,34-1816-B,34-1909-B,35-6576-B
promo prompsi promptum	35-5295-B
promontorium	20-6801-B
promotum	22-2481-S
promoveo promovi promotum	22-2481-B
promovi promotum	22-2481-S
prompsi promptum	35-5295-S
prompte	22-176-B
prompte[adjective]	22-4653-B
promptu esse	28-5818-S
promptu habere	33-3086-S
promptu ponere	34-4701-S
promptu, in promptu esse	28-5818-B
promptu, in promptu habere	33-3086-B
promptu, in promptu ponere	34-4701-B
promptum	35-5295-S
promptus	2-7577-B,22-4863-B,22-4906-B
promptus[adjective]	22-4837-B
promptus[noun]	22-4698-S
promulgatio	22-1590-B
promulgo	35-5855-B
promus	25-4463-B
promutuus	1-7269-B
pronepos proneptos	14-3521-B
proneptos	14-3521-S
pronuntio	35-5151-B
pronus	25-4708-B
propago	32-168-B
propago-are	37-4517-B
propalata	18-569-B
propalo	34-5580-B
prope	19-1685-B,19-1734-B
propello	31-4174-B
propense	22-4680-B
propero	33-2744-B,33-2819-B,33-2873-B
propino	37-148-B
propinquitas	16-4868-B
propinquitas[noun]	9-1900-B
propinquo	2-2660-B
propinquus	17-639-B,19-1636-B
propitius	12-4735-B,14-3162-B
propono	11-58-B,31-356-B
propositio	22-488-B
propositum	3-3986-B,16-4435-B
proprie	12-1483-B
proprietas	20-4946-B
proprius	8-1971-B,20-1975-B
propter	1-1132-B
propugnaculum	39-4349-B
prora	22-1505-B
prorsus	13-4586-B,40-4552-B
proruo	38-5757-B
prosapia	12-3729-B
proscaenium, -i (n.)	22-670-B
proscriptio, -onis (f.)[noun]	5-228-B
proscriptiones, -ium (f.)[noun]	5-272-B
prosecutionibus	22-2393-S
prosecutus)	28-2270-S
prosequor	35-6246-B
prosequor (prosecutus)	28-2270-B
prosilio	37-4640-B
prospectus, -us (m.)[noun]	22-786-B
prosper	12-4686-B,22-468-B
prospera	14-2806-B
prosperans, -ntis[noun]	22-822-B
prospere[adverb]	22-930-B
prosperitas	22-632-B,26-112-B
prosperitas, -atis (f.)[noun]	22-857-B
prosperum	38-6099-S
prosperus[adjective]	22-898-B
prospicio	34-3485-B,36-6475-B
prosterno	33-6907-B,35-557-B
prosterno, -ere, -stravi, -stratum[verb]	22-1052-B
prostituo, -ere, -ui, -utus[verb]	22-960-B
prostratus[adjective]	22-1103-B
prosum	2-9881-B,29-1295-B
prosum (profuturus)	28-7039-B
protego	35-5735-B
protelo	34-1057-B
protendo	37-6383-B
protense	12-2242-B
protero	38-5273-B
proterus	41-1114-B
protesto	30-6041-S
protestor, protesto	30-6041-B
prothonotario	22-1255-B
prothoplastus	26-5453-B
protinus	13-4470-B
protractus)	31-3591-S
protraho (protractus)	31-3591-B
prout	6-108-B
provectus	5-121-B,5-1004-B
proveho	29-6450-B
proventus	3-5339-B
provida	22-1540-B
providentia	22-1394-B
provideo	32-4273-B
providor	7-6328-B
provisio	13-3441-B
provisor	20-1788-B
provolvere se	38-3239-B
provolvo	32-713-B
proximus	19-1787-B
prudens	10-5975-B,22-1517-B
prudenter	10-6034-B,42-358-B
prudentia	13-3339-B,21-4023-B
prurigo	33-6037-B
psallo	35-2679-B,37-2120-B
pualla	14-1668-B
pubertas	18-1550-B
pubes	42-3763-B
pubesco	36-204-B
publica	8-4966-S
publicus	19-6169-B
puchre	6-4809-B
pudendus	24-2886-B
pudeo	28-3791-B
pudet	16-5605-B
pudicus	18-5666-B
pudor	15-5338-B,18-5690-B
puella	14-1680-B
puer	7-2797-B
puer[noun]	7-2782-B
pueri	7-2851-B
puerilis	8-2763-B
pueriliter	7-2807-B
puga, pyga	7-4731-B
pugna	12-6065-B
pugnacitas	26-5300-B
pugnaculum	13-4248-B
pugnator	8-4563-B
pugnax	13-1862-B
pugnax[adjective]	9-1474-B
pugno	32-2461-B
pugnus	26-5482-B
pulchellus	21-5764-B
pulcher pulchra pulchrum	6-4610-B
pulchra pulchrum	6-4610-S
pulchritudo	6-4905-B
pulchrum	6-4610-S
pulex	26-5499-B
pullulo	24-3477-B,33-5043-B
pullus	10-943-B,42-3623-B,42-3821-B
pulmentum	5-4814-B
pulmo	27-196-B
pulpa	13-1350-B
pulpitum	21-2355-B
pulsatus	39-4209-B
pulso	37-6450-B,37-6833-B
pulsum	33-3844-S
pulsus	6-4500-B
pulverulentus	14-188-B
pulvis	11-2895-B
pumilio	3-4439-S
pumilius pumilio	3-4439-B
punctum	3-6939-B,35-1438-S,35-4905-S
pungo	37-5868-B
pungo pupugi punctum	35-1438-B,35-4905-B
puniceus	22-2273-B,22-5491-B
punio	35-6046-B
punitor	22-1823-B
pupa	11-1275-B
pupilla	20-3667-S
pupillus	20-3643-B
pupillus pupilla	20-3667-B
puppi	4-2158-S
puppis	25-4407-B
pupugi punctum	35-1438-S,35-4905-S
pupula	22-1873-B
purgamentum	23-4131-B
purgatio	8-3512-B
purgo	30-378-B
purpura	22-2215-B
purpureus	7-3533-B
purus	22-1898-B,25-2890-B
pusillus	16-3901-B,27-3893-B
pusio	17-1172-B
putator	22-1557-B
puteo	37-5884-B
puter	23-3774-B
putesco	35-7154-B
puteulanus	7-1348-B
puteus	41-3372-B
puto	30-530-B
putus	22-1994-B
pyga	7-4731-S
pyropus	7-3911-B
pyus pyxidis	3-5904-B
pyxidis	3-5904-S
qua	1-4981-B,2-898-B
quadra	10-5595-B
quadra vivere	34-2857-S
quadraginta	13-4441-B
quadratus	25-3079-B
quadriangulus[adjective]	22-2645-B
quadrigae	13-5112-B
quadrivium	9-5399-B,24-386-B
quadrum	4-737-B
quadrupes[noun]	22-2683-B
quadruplator	5-3599-B
quadruplex[adjective]	22-2709-B
quadruplor	28-3673-B
quae	2-194-B,2-5232-B,2-5888-B
quae que	2-1474-B
quae, que, quod	41-4174-S
quaecumque, quodcumque	41-3699-S
quaedam quedam quidam	3-3294-S
quaenam quenam quodnam	41-4214-S
quaerito	36-6839-B
quaero	35-2456-B,36-6798-B
quaero, quero	34-6369-B,36-6736-B
quaesitio, quesitio	16-5092-B
quaeso, queso	36-6664-B
quaestio	16-6524-B
quaestio, questio	24-951-B
quaestor[noun]	22-2741-B
quaestuosus questuosus	21-6637-B
quaestus questus	21-6479-B
qualis	19-6284-B
qualiscumque	19-5706-B
qualislibet	19-6323-B
qualitas	22-2924-B
qualiter	16-6620-B
quam	1-4627-B,2-1073-B,5-6258-S,10-5110-S,15-6658-S,16-6662-S
quam ob rem	41-4061-S
quam plures	5-6499-B
quam primum	6-0-S
quam, pre quam	15-6658-S
quamdiu	26-262-B
quamobrem	13-2873-B
quamobrem, quam ob rem	41-4061-B
quamquam	19-2600-B,27-3175-B
quamtotius	3-326-B
quamvis	1-7431-B,4-6883-B
quando	15-5199-S
quando, (interr.) when si quando	15-5199-B
quandoque	4-6300-B
quandoquidem	24-4577-B
quantacumque, quantumcumque	15-4428-S
quanti	13-2541-B
quanto	7-5066-B
quantocius, quantotius	5-6657-B,27-812-B
quantotius	5-6657-S,27-812-S
quantum	1-2337-B,4-6435-B,15-4315-B
quantum in me est	5-6560-B
quantumcumque	15-4428-S
quantus	5-6362-S,15-4194-B,15-4226-B
quantus .. quantus	5-6362-B
quantuscumque, quantacumque, quantumcumque	15-4428-B
quantuslibet	5-6601-B
quantuvis	5-6313-B
quapropter	41-4039-B
quare	41-3993-B
quartus	13-5159-B
quarum	2-128-B
quas	2-0-B
quasi	5-6442-B
quasi, proinde ac si	16-6557-S
quassatio	3-7623-B
quasso	28-2934-B,37-975-B
quatenus	16-235-B
quatenus, quatinus	15-4130-B
quatenus/quatinus	24-4527-B
quater	13-5076-B
quatinus	15-4130-S,24-4527-S
quattuor	13-5051-B
quattuor (indecl.) (iv, iiii)[adjective]	13-5005-B
que	2-1474-S
que (enclitic conjunction, suffix) [conjunction]	5-3981-B
que, quod	41-4174-S
quedam quidam	3-3294-S
quem	2-4278-B
quemadmodum	15-4357-B,15-4390-B
quenam quodnam	41-4214-S
quendam	3-3253-B
queo	28-3316-B
quercetum	5-3671-B
quercus	19-5034-B
querela, querella	8-5504-B
querella	8-5504-S
queribundus	8-5364-B
querimonia	8-5451-B
queritor	30-1997-B
quernus	19-5052-B
quero	34-6369-S,36-6736-S
queror	30-2075-B
querulus	8-5409-B
quesitio	16-5092-S
queso	36-6664-S
questio	24-951-S
questuosus	21-6637-S
questus	8-5558-B,21-6479-S
qui	2-3098-B,2-3497-B,2-8862-B
qui, quae, que, quod	41-4174-B
quia	6-5098-B
quianam	41-4993-B
quiane	41-5007-B
quibus	1-9342-B,2-59-B,2-3251-B,2-3377-B,2-5175-B,2-5287-B
quicquid	41-4590-B
quicum	42-894-B
quicumque, etc	5-4543-B
quicumque, etc.	5-1697-B
quicumque, quaecumque, quodcumque	41-3699-B
quid	1-2372-B,2-8918-B
quid ita	41-4955-B
quidam	3-3294-S
quidam quaedam quedam quidam	3-3294-B
quidem	4-6136-B,6-1327-S,16-1879-B,19-3501-S,19-3527-S
quidnam	41-4562-S
quidne	2-8986-B
quies	22-3258-B,23-540-B
quiesco	36-3743-B
quiete	7-5659-B,22-3351-B
quieto	28-7762-B
quietus	23-1532-B
quilibet	5-4727-B
quin	2-10238-B,3-844-B,7-4484-B
quin etiam	41-4915-B,42-3194-B
quinam quaenam quenam quodnam	41-4214-B
quindeciens	12-5964-B
quingenti	13-777-B
quinimmo	19-3175-S
quinquagesimus	12-6007-B
quinque	13-829-B
quinque (indecl.)[adjective]	13-743-B
quinquennis	13-801-B
quinquiplico	1-6646-B
quinymo quinimmo	19-3175-B
quippe	8-1330-B
quiris, curis	4-623-B
quiritatio	3-7547-B
quirito	1-6764-B
quis	2-8949-B,5-4647-B
quislibet	5-4603-B
quisnam, quidnam	41-4562-B
quispiam	5-4679-B
quisquam	5-4787-B
quisque	11-3226-B
quisquiliae, quisquiliarum	23-4177-B
quisquiliarum	23-4177-S
quisquis	41-4647-B
quo	2-4102-B,2-5952-B,39-2324-B
quod	1-1374-B,1-7198-B,2-6146-B,2-6498-B,2-10183-B,6-5044-B,20-472-S,41-4174-S
quod eodem tempore est[adjective]	9-853-B
quod in libro continetur[noun]	9-1563-B
quod sui juris est	41-3634-B
quodammodo	15-6319-B
quodcumque	41-3699-S
quodnam	41-4214-S
quomodo	16-1040-B
quondam	13-3777-B,13-3885-B
quoniam	24-4630-B
quoque	5-2599-B
quorum	2-3440-B,2-5349-B
quos	2-3319-B
quot	15-4281-B
quotiens	20-247-B
quotienscumque	15-4486-B
quovis	39-2289-B
quris	4-602-S
rabidus	22-3502-B
rabies	13-6025-B,18-604-B
rabiose	23-5861-B
radicitus	7-5374-B
radio	6-4405-B
radix	25-1698-B
rapiere[verb]	4-3320-B
rapina	22-4464-B
rapio	36-157-B
rapio, rapui, ratum	36-7082-B
raptor	22-4440-B
raptus[noun]	4-3341-B
rapui, ratum	36-7082-S
rare	27-2690-B
rarus	22-4011-B
ratio	21-6108-B,22-5276-B,26-2551-B
ratio verborum[noun]	9-1846-B
rationabiliter	22-5079-B
ratis	40-5911-B
ratum	36-7082-S
re vera	16-798-B
rebellis	22-5106-B
rebello	39-455-B
reboare	36-3516-B
recedentia	23-1845-B
recedo	23-1766-B,32-559-B,32-7667-B
recenseo	36-934-B
recepi, receptum	32-7604-S
receptum	32-7604-S
recessus	3-5141-B
recidivus	23-1982-B
recipero	36-461-B,36-1724-B
recipio, recepi, receptum	32-7604-B
reciproca	23-2040-B
recita[verb]	22-4793-B
recitare[verb]	22-4518-B
recitatio[noun]	22-4751-B
recito	36-328-B
recognosco	36-706-B
recolitus	40-5222-B
recolligo	14-951-B
recolo	30-3641-B,30-5255-B,36-377-B
reconcilio	36-3873-B
recondo	17-2391-B
recoquo	22-5135-B
recordatio	22-5367-B
recordo	28-5458-B
recordor	36-2390-B
recreo	36-4389-B
recro	36-1059-B
rector	14-4487-B
rectum	33-2031-S,41-43-B
rectus	23-2765-B,25-4883-B
